year,team_full_name,week,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2001,Buffalo Bills,13,44549.0,Highmark Stadium,71608,0.6221232264551447
2001,Buffalo Bills,14,45527.0,Highmark Stadium,71608,0.6357809183331471
2001,Buffalo Bills,15,43320.0,Highmark Stadium,71608,0.6049603396268574
2001,Buffalo Bills,16,78200.0,Highmark Stadium,71608,1.0920567534353705
2001,Buffalo Bills,17,73428.0,Highmark Stadium,71608,1.0254161546195957
2001,Carolina Panthers,1,64108.0,Bank of America Stadium,74867,0.8562918241681916
2001,Carolina Panthers,2,47804.0,Bank of America Stadium,74867,0.6385189736465999
2001,Carolina Panthers,3,73120.0,Bank of America Stadium,74867,0.9766652864412892
2001,Carolina Panthers,4,66944.0,Bank of America Stadium,74867,0.8941723322692241
2001,Carolina Panthers,5,72049.0,Bank of America Stadium,74867,0.962359918255039
2001,Carolina Panthers,6,74480.0,Bank of America Stadium,74867,0.9948308333444642
2001,Carolina Panthers,7,72642.0,Bank of America Stadium,74867,0.9702806309856145
2001,Carolina Panthers,8,72597.0,Bank of America Stadium,74867,0.969679565095436
2001,Carolina Panthers,9,66069.0,Bank of America Stadium,74867,0.8824849399601961
2001,Carolina Panthers,10,72665.0,Bank of America Stadium,74867,0.9705878424405947
2001,Carolina Panthers,11,72234.0,Bank of America Stadium,74867,0.964830966914662
2001,Carolina Panthers,12,70020.0,Bank of America Stadium,74867,0.9352585251178757
2001,Carolina Panthers,13,44549.0,Bank of America Stadium,74867,0.5950418742570158
2001,Carolina Panthers,14,,Bank of America Stadium,74867,
2001,Carolina Panthers,15,72438.0,Bank of America Stadium,74867,0.9675557989501382
