year,home_team_name,weekly_attendance,weekly_attendance_ratio,prev_game_attendance,home_team_superbowl_winner_last_season,away_team_superbowl_winner_last_season,home_team_playoffs_last_season,away_team_playoffs_last_season,home_team_wins_last_3,away_team_wins_last_3,pts_home,pts_away,yds_home,yds_away,turnovers_home,turnovers_away,zscore_pts_home,zscore_yds_home,zscore_turnovers_home,zscore_pts_away,zscore_yds_away,zscore_turnovers_away,day_sin,day_cos,month_sin,month_cos,noon,mid_afternoon,late_afternoon,evening,avg_season_attendance_prev
2010,Lions,58119.0,0.625709210313829,60965.0,False,False,False,False,0.0,3.0,20,24,302,311,0,1,0.3684747416957915,0.039186179550044,-1.5704317459044823,0.2988224816732177,0.0096727146157553,-0.6056796398154362,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,49395.25
2010,Titans,69143.0,0.7630330184514876,69143.0,False,False,False,False,0.0,2.0,6,17,220,377,2,0,-1.322565734128103,-1.510025009642984,0.0466387608531907,-0.1083284296882422,0.4990131037731966,-1.6113756277207885,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,69143.0
2010,Vikings,64012.0,0.701978330482081,64120.0,False,False,False,False,1.0,2.0,38,14,387,239,4,5,0.9272764165486704,0.0885012390260196,3.565998619439743,-0.2258636847017038,-0.4454352366633231,3.0496877279641668,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,63775.375
2010,Chargers,68183.0,0.9194659834131212,68482.0,False,False,False,False,3.0,1.0,13,28,286,368,2,1,-2.16893776876519,-1.0629574113247628,1.2145317668086797,2.204719530174293,1.1273619615438928,-0.8993156602197129,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,67543.125
2010,Cardinals,61874.0,0.7220847726636168,62308.0,False,False,False,False,0.0,1.0,6,19,224,288,2,1,-1.8167101774979044,-1.6035491474162509,-0.1305582419667733,1.205519734193338,0.1025257539742599,-0.7649694018358776,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,63142.875
2010,Colts,67471.0,0.7341864438133168,66085.0,False,False,False,True,1.0,2.0,35,38,405,368,4,0,0.9230566941358804,0.568515168886248,2.282177322938192,1.6083419850967111,-0.4588513629157417,-1.0173382250855334,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,66549.75
2010,Buccaneers,53955.0,0.5795319062093855,44264.0,False,False,False,False,2.0,3.0,24,28,325,290,1,2,0.9034552248360636,0.3453891956702343,-0.8940593410189046,0.5564047511355803,-0.7013966037074706,0.400076212251811,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,65649.25
2010,Seahawks,66577.0,0.7224850786760716,66370.0,False,False,False,False,1.0,0.0,31,14,371,283,2,1,1.3014504347844922,0.6315106588954308,0.0505420212576281,-0.5651004053998963,-0.5866723444761155,-0.4651302547095317,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,67392.625
2010,Ravens,71418.0,0.7674733493810179,70989.0,False,False,False,False,2.0,2.0,10,13,269,288,1,1,-1.3420558339302202,-0.8054851684789305,-0.3268085027479463,-1.1227217828476797,-0.7816439573468348,-0.514383701466614,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,False,True,False,71082.5
2010,Patriots,68756.0,0.7388827992348529,68756.0,False,False,False,True,3.0,3.0,45,3,405,301,0,3,1.614648188502533,0.0824068316347003,-1.5535648778815885,-2.1221127469280794,-0.2769845776049268,0.5835468325932345,0.0,1.0,-0.587785252292473,-0.8090169943749476,False,False,True,False,68756.0
2010,Bills,50861.0,0.5623417546575267,69642.0,False,False,False,False,1.0,2.0,13,6,323,187,1,3,-0.3321524775025056,0.627441032289197,-0.8539125638299666,-0.764547045434607,-0.7447759335690063,0.6961914023414082,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,67808.125
2010,Jaguars,62570.0,0.6893474500644508,62254.0,False,False,False,False,2.0,1.0,38,31,385,476,1,2,1.9138022578256129,0.5977359434686668,-0.4904186693063269,2.6263392012833213,2.322503967401467,-0.0529009211893948,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,49651.75
2010,Steelers,57501.0,0.6015063549348816,64987.0,False,False,False,True,3.0,0.0,23,7,354,190,0,3,0.0,-0.1624271389235358,-1.428843615185039,-1.2026723598729354,-1.307904272002134,1.1379261747197271,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,63485.25
2010,Lions,57659.0,0.6207568498681165,58119.0,False,False,False,True,0.0,2.0,7,3,286,258,2,3,-0.9529519181787712,-0.1698067780501906,-0.3447289198326912,-3.4081290698577957,-1.717023701225408,1.7320508075688774,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,49395.25
2010,Panthers,71235.0,0.7835857835857836,73021.0,False,False,False,False,0.0,3.0,10,31,288,327,2,1,-0.9625336575492738,-0.5256401109805509,0.0310086836473021,0.8706097870709668,-0.1868652661674178,-0.5143837014666142,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,73289.25
2010,Redskins,66124.0,0.7102546751307748,83602.0,False,False,False,False,1.0,1.0,16,17,399,365,1,2,-0.0686371275359182,1.3127978960131457,-0.5590169943749475,0.1806910449672127,0.7138043377184843,-0.0993399267798783,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,True,False,False,False,84794.0
2010,49ers,69732.0,0.7648233048895519,69732.0,False,False,False,False,1.0,1.0,40,21,336,361,0,5,2.8697143606782536,0.8750055643419165,-1.139331787969125,0.3374130756848683,0.5149688994683617,2.4765590416237813,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,69732.0
2010,Saints,70015.0,0.7449593020162792,70015.0,False,False,False,False,3.0,2.0,31,13,345,327,3,3,-0.075072042445002,-0.8097872419869234,0.8989936902850955,0.3083887692122492,0.5661204675970005,0.674973001619892,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,70105.0
2010,Cardinals,62223.0,0.7261576883577631,61874.0,False,False,False,False,0.0,0.0,43,13,357,288,1,6,2.0381013819241725,0.1681811670706555,-0.6527912098338668,-0.7172825973437191,-0.6454484194632337,4.172223356340314,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,63142.875
2010,Chargers,66780.0,0.9005461533274897,68183.0,False,False,False,False,2.0,3.0,31,0,426,67,2,0,0.3703064483257641,0.946346049744831,1.2145317668086797,-1.8665005120950016,-2.3629902992504896,-1.2045891547939214,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,67543.125
2010,Jets,78948.0,0.8738502407438153,78903.0,False,False,False,False,2.0,1.0,6,10,280,131,2,3,-1.7825747074195868,-0.5678183840900999,0.0648385369548038,-1.5114088543958577,-2.530117440105016,0.7837245293666866,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,77052.5
2010,Bears,62347.0,0.68850630562979,62147.0,False,False,False,True,3.0,3.0,7,36,185,475,4,0,-1.1271374308726634,-1.7630720731445029,1.0094660663590602,0.8211009559279092,0.8327779814791265,-1.5535648778815885,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,True,False,False,62250.0
2010,Cowboys,85673.0,0.8149941495990335,93985.0,False,False,False,True,2.0,2.0,27,30,349,429,2,2,0.4623169268901478,-0.7367215109762706,0.6960735224269439,0.2774056181555309,0.9823810691526592,0.4651302547095317,-0.7818314824680299,0.6234898018587334,-0.587785252292473,-0.8090169943749476,False,False,True,False,89756.875
2010,Vikings,45910.0,0.5034653682502084,64012.0,False,False,False,False,2.0,2.0,3,21,164,395,1,2,-2.835584404228543,-2.5875362257607426,-0.1550434182365105,-0.3392448695286663,0.3436250513215901,0.0449982001079928,0.0,1.0,-0.587785252292473,-0.8090169943749476,False,False,True,False,63775.375
2010,Texans,71413.0,0.7833894623679505,70855.0,False,False,False,True,1.0,2.0,28,34,489,253,2,0,0.4833180583373129,1.484499701807265,0.25,0.888894123771964,-0.9622944484261596,-1.1982978434091365,0.0,1.0,-0.587785252292473,-0.8090169943749476,False,False,True,False,70608.0
2010,Titans,69143.0,0.7630330184514876,69143.0,False,False,False,True,0.0,0.0,28,30,365,399,2,0,0.4818650349148902,0.1558133271956859,0.0466387608531907,0.4102474196159468,0.4871776782557266,-1.3693063937629153,0.43388373911755823,-0.900968867902419,-0.587785252292473,-0.8090169943749476,False,False,True,False,69143.0
