year,team_full_name,week,weekly_attendance,home,Sb_winners,Sb_winners_prev_years,Playoff_prev_years,Bad_streak,Medium_streak,Good_streak
2000,Cincinnati Bengals,3,45653.0,False,,,,True,False,False
2000,Cincinnati Bengals,4,68481.0,False,,,,True,False,False
2000,Cincinnati Bengals,5,61535.0,True,,,,True,False,False
2000,Cincinnati Bengals,6,63406.0,True,,,,True,False,False
2000,Cincinnati Bengals,7,54328.0,False,,,,True,False,False
2000,Cincinnati Bengals,8,61603.0,True,,,,True,False,False
2000,Cincinnati Bengals,9,73118.0,False,,,,True,False,False
2000,Cincinnati Bengals,10,54759.0,True,,,,True,False,False
2000,Cincinnati Bengals,11,62170.0,False,,,,False,True,False
2000,Cincinnati Bengals,12,60292.0,False,,,,False,True,False
2000,Cincinnati Bengals,13,63925.0,True,,,,False,True,False
2000,Cincinnati Bengals,14,50289.0,True,,,,False,True,False
2000,Cincinnati Bengals,15,68498.0,False,,,,True,False,False
2000,Cincinnati Bengals,16,50469.0,True,,,,True,False,False
2000,Cincinnati Bengals,17,64902.0,False,,,,True,False,False
2000,Cleveland Browns,1,72418.0,True,,,,True,False,False
2000,Cleveland Browns,2,64006.0,False,,,,True,False,False
2000,Cleveland Browns,3,73018.0,True,,,,True,False,False
2000,Cleveland Browns,4,45702.0,False,,,,True,False,False
2000,Cleveland Browns,5,73018.0,True,,,,False,True,False
2000,Cleveland Browns,6,44296.0,False,,,,False,True,False
2000,Cleveland Browns,7,75811.0,False,,,,False,True,False
2000,Cleveland Browns,8,57659.0,False,,,,False,True,False
2000,Cleveland Browns,9,73118.0,True,,,,True,False,False
2000,Cleveland Browns,10,72718.0,True,,,,True,False,False
2000,Cleveland Browns,11,72618.0,True,,,,True,False,False
2000,Cleveland Browns,12,68498.0,False,,,,True,False,False
2000,Cleveland Browns,13,68361.0,False,,,,True,False,False
2000,Cleveland Browns,14,51262.0,False,,,,True,False,False
2000,Cleveland Browns,15,72318.0,True,,,,True,False,False
2000,Cleveland Browns,16,72318.0,True,,,,True,False,False
2000,Cleveland Browns,17,,,,,,True,False,False
2000,Dallas Cowboys,1,62872.0,True,,,,True,False,False
2000,Dallas Cowboys,2,66009.0,False,,,,True,False,False
2000,Dallas Cowboys,3,84431.0,False,,,,True,False,False
2000,Dallas Cowboys,4,64127.0,True,,,,True,False,False
2000,Dallas Cowboys,5,73310.0,False,,,,True,False,False
2000,Dallas Cowboys,6,,,,,,True,False,False
2000,Dallas Cowboys,7,78189.0,False,,,,True,False,False
2000,Dallas Cowboys,8,62981.0,True,,,,False,True,False
2000,Dallas Cowboys,9,63554.0,True,,,,False,True,False
2000,Dallas Cowboys,10,65636.0,False,,,,False,True,False
2000,Dallas Cowboys,11,62170.0,True,,,,False,True,False
2000,Dallas Cowboys,12,69416.0,False,,,,False,True,False
2000,Dallas Cowboys,13,63878.0,True,,,,False,True,False
2000,Dallas Cowboys,14,65621.0,False,,,,False,True,False
2000,Dallas Cowboys,15,63467.0,True,,,,True,False,False
2000,Dallas Cowboys,16,61311.0,True,,,,True,False,False
2000,Dallas Cowboys,17,68498.0,False,,,,False,True,False
2000,Denver Broncos,1,65956.0,False,,,,True,False,False
2000,Denver Broncos,2,75466.0,True,,,,True,False,False
2000,Denver Broncos,3,62078.0,False,,,,True,False,False
2000,Denver Broncos,4,74596.0,True,,,,True,False,False
2000,Denver Broncos,5,75684.0,True,,,,False,True,False
2000,Denver Broncos,6,56079.0,False,,,,False,True,False
2000,Denver Broncos,7,75811.0,True,,,,False,True,False
2000,Denver Broncos,8,61603.0,False,,,,False,True,False
2000,Denver Broncos,9,,,,,,False,True,False
2000,Denver Broncos,10,78305.0,False,,,,False,True,False
2000,Denver Broncos,11,75951.0,True,,,,False,True,False
2000,Denver Broncos,12,75218.0,True,,,,False,True,False
2000,Denver Broncos,13,68661.0,False,,,,False,False,True
2000,Denver Broncos,14,64900.0,False,,,,False,False,True
2000,Denver Broncos,15,75218.0,True,,,,False,False,True
2000,Denver Broncos,16,78406.0,False,,,,False,False,True
2000,Denver Broncos,17,76098.0,True,,,,False,False,True
2000,Detroit Lions,1,64900.0,False,,,,True,False,False
2000,Detroit Lions,2,74159.0,True,,,,True,False,False
2000,Detroit Lions,3,76928.0,True,,,,True,False,False
2000,Detroit Lions,4,66944.0,False,,,,False,True,False
2000,Detroit Lions,5,76438.0,True,,,,False,True,False
2000,Detroit Lions,6,77549.0,True,,,,False,True,False
2000,Detroit Lions,7,,,,,,False,True,False
2000,Detroit Lions,8,65557.0,False,,,,False,True,False
2000,Detroit Lions,9,56971.0,False,,,,False,True,False
2000,Detroit Lions,10,77813.0,True,,,,False,True,False
2000,Detroit Lions,11,74309.0,True,,,,False,True,False
2000,Detroit Lions,12,77897.0,False,,,,False,True,False
2000,Detroit Lions,13,77923.0,True,,,,False,True,False
2000,Detroit Lions,14,64214.0,False,,,,False,True,False
2000,Detroit Lions,15,59854.0,False,,,,False,True,False
2000,Detroit Lions,16,77513.0,False,,,,False,True,False
2000,Detroit Lions,17,71957.0,True,,,,False,True,False
2000,Green Bay Packers,1,59870.0,True,,,,True,False,False
2000,Green Bay Packers,2,77722.0,False,,,,True,False,False
2000,Green Bay Packers,3,59869.0,True,,,,True,False,False
2000,Green Bay Packers,4,71801.0,False,,,,True,False,False
2000,Green Bay Packers,5,59869.0,True,,,,True,False,False
2000,Green Bay Packers,6,77549.0,False,,,,False,True,False
2000,Green Bay Packers,7,59870.0,True,,,,False,True,False
2000,Green Bay Packers,8,,,,,,False,True,False
2000,Green Bay Packers,9,73740.0,False,,,,False,True,False
2000,Green Bay Packers,10,59854.0,True,,,,False,True,False
2000,Green Bay Packers,11,65621.0,False,,,,False,True,False
2000,Green Bay Packers,12,59869.0,True,,,,False,True,False
