year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2000,3,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,,Sun,September 17,1:02PM,23,20,377,1,336,1,Cleveland,Pittsburgh,73018.0,Huntington Bank Field,67895,1.075454746299433
2000,3,Green Bay Packers,Philadelphia Eagles,Green Bay Packers,,Sun,September 17,1:02PM,6,3,236,4,171,1,Green Bay,Philadelphia,59869.0,Lambeau Field,81441,0.7351211306344471
2000,3,Carolina Panthers,Atlanta Falcons,Atlanta Falcons,,Sun,September 17,1:02PM,15,10,262,2,284,4,Carolina,Atlanta,73025.0,Bank of America Stadium,74867,0.9753963695620234
2000,3,St. Louis Rams,San Francisco 49ers,St. Louis Rams,,Sun,September 17,1:02PM,41,24,529,2,401,2,St. Louis,San Francisco,65945.0,SoFi Stadium,70240,0.9388525056947609
2000,3,New York Jets,Buffalo Bills,New York Jets,,Sun,September 17,1:03PM,27,14,279,1,354,4,New York,Buffalo,77884.0,MetLife Stadium,82500,0.9440484848484848
2000,3,Detroit Lions,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,September 17,1:06PM,31,10,331,0,243,3,Detroit,Tampa Bay,76928.0,Ford Field,65000,1.1835076923076924
2000,3,Chicago Bears,New York Giants,New York Giants,,Sun,September 17,3:16PM,14,7,409,1,228,1,Chicago,New York,66944.0,Soldier Field,61500,1.088520325203252
2000,3,Oakland Raiders,Denver Broncos,Denver Broncos,,Sun,September 17,4:05PM,33,24,387,1,263,4,Oakland,Denver,62078.0,Allegiant Stadium,65000,0.9550461538461539
2000,3,Kansas City Chiefs,San Diego Chargers,Kansas City Chiefs,,Sun,September 17,4:05PM,42,10,349,1,187,2,Kansas City,San Diego,77604.0,Arrowhead Stadium,76416,1.0155464824120604
2000,3,Seattle Seahawks,New Orleans Saints,Seattle Seahawks,,Sun,September 17,4:15PM,20,10,295,1,263,0,Seattle,New Orleans,59513.0,Lumen Field,69000,0.8625072463768116
