year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_city,away_team_city,weekly_attendance,Stadium,Capacity,weekly_attendance_percent
2003,5,Green Bay Packers,Seattle Seahawks,Green Bay Packers,,Sun,October 5,1:02PM,35,13,336,0,343,2,Green Bay,Seattle,70365.0,Lambeau Field,81441,0.8639997053081372
2003,5,Buffalo Bills,Cincinnati Bengals,Buffalo Bills,,Sun,October 5,1:02PM,22,16,257,0,279,2,Buffalo,Cincinnati,72615.0,Highmark Stadium,71608,1.0140626745615016
2003,5,New York Giants,Miami Dolphins,Miami Dolphins,,Sun,October 5,1:03PM,23,10,285,1,350,4,New York,Miami,78863.0,MetLife Stadium,82500,0.9559151515151515
2003,5,Atlanta Falcons,Minnesota Vikings,Minnesota Vikings,,Sun,October 5,1:05PM,39,26,399,1,440,3,Atlanta,Minnesota,70427.0,Mercedes Benz Stadium,71000,0.9919295774647887
2003,5,Jacksonville Jaguars,San Diego Chargers,Jacksonville Jaguars,,Sun,October 5,4:05PM,27,21,436,1,346,2,Jacksonville,San Diego,48954.0,TIAA Bank Field,67246,0.7279838205989947
2003,5,Philadelphia Eagles,Washington Redskins,Philadelphia Eagles,,Sun,October 5,4:15PM,27,25,267,2,307,2,Philadelphia,Washington,67792.0,Lincoln Financial Field,69596,0.9740789700557503
2003,5,San Francisco 49ers,Detroit Lions,San Francisco 49ers,,Sun,October 5,4:15PM,24,17,325,1,305,2,San Francisco,Detroit,67365.0,Levi's Stadium,68500,0.9834306569343065
2003,5,Pittsburgh Steelers,Cleveland Browns,Cleveland Browns,,Sun,October 5,8:35PM,33,13,324,2,209,3,Pittsburgh,Cleveland,64595.0,Acrisure Stadium,68400,0.9443713450292398
2003,5,Tampa Bay Buccaneers,Indianapolis Colts,Indianapolis Colts,,Mon,October 6,9:15PM,38,35,455,2,457,1,Tampa Bay,Indianapolis,65647.0,Raymond James Stadium,69218,0.9484093732844058
2003,6,Indianapolis Colts,Carolina Panthers,Carolina Panthers,,Sun,October 12,1:00PM,23,20,341,2,369,3,Indianapolis,Carolina,57082.0,Lucas Oil Stadium,67000,0.8519701492537314
2003,6,Jacksonville Jaguars,Miami Dolphins,Miami Dolphins,,Sun,October 12,1:01PM,24,10,234,2,332,5,Jacksonville,Miami,66437.0,TIAA Bank Field,67246,0.9879695446569313
2003,6,New England Patriots,New York Giants,New England Patriots,,Sun,October 12,1:02PM,17,6,220,0,382,5,New England,New York,68436.0,Gillette Stadium,66829,1.024046446901794
2003,6,Green Bay Packers,Kansas City Chiefs,Kansas City Chiefs,,Sun,October 12,1:02PM,40,34,482,0,440,2,Green Bay,Kansas City,70407.0,Lambeau Field,81441,0.8645154160680738
2003,6,Dallas Cowboys,Philadelphia Eagles,Dallas Cowboys,,Sun,October 12,1:03PM,23,21,292,1,232,1,Dallas,Philadelphia,63648.0,AT&T Stadium,80000,0.7956
2003,6,New Orleans Saints,Chicago Bears,New Orleans Saints,,Sun,October 12,1:03PM,20,13,283,0,271,2,New Orleans,Chicago,68390.0,Caesars Superdome,73208,0.934187520489564
2003,6,Tennessee Titans,Houston Texans,Tennessee Titans,,Sun,October 12,1:03PM,38,17,535,1,458,3,Tennessee,Houston,68809.0,Nissan Stadium,69143,0.9951694314681168
2003,6,Washington Redskins,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,October 12,1:03PM,35,13,379,0,275,3,Washington,Tampa Bay,85490.0,Commanders Field,62000,1.3788709677419355
2003,6,Cleveland Browns,Oakland Raiders,Cleveland Browns,,Sun,October 12,1:03PM,13,7,284,1,254,0,Cleveland,Oakland,73318.0,Huntington Bank Field,67895,1.0798733338242874
2003,6,New York Jets,Buffalo Bills,New York Jets,,Sun,October 12,4:15PM,30,3,233,0,193,4,New York,Buffalo,77740.0,MetLife Stadium,82500,0.9423030303030303
2003,6,Denver Broncos,Pittsburgh Steelers,Denver Broncos,,Sun,October 12,4:15PM,17,14,242,3,215,1,Denver,Pittsburgh,75974.0,Empower Field at Mile High,76125,0.9980164203612479
2003,6,Arizona Cardinals,Baltimore Ravens,Baltimore Ravens,,Sun,October 12,4:16PM,26,18,285,0,320,3,Arizona,Baltimore,24193.0,State Farm Stadium,63400,0.3815930599369085
2003,6,Seattle Seahawks,San Francisco 49ers,Seattle Seahawks,,Sun,October 12,8:37PM,20,19,333,1,261,1,Seattle,San Francisco,66437.0,Lumen Field,69000,0.9628550724637681
2003,6,St. Louis Rams,Atlanta Falcons,St. Louis Rams,,Mon,October 13,9:00PM,36,0,496,3,209,4,St. Louis,Atlanta,66075.0,SoFi Stadium,70240,0.9407033029612756
2003,7,Minnesota Vikings,Denver Broncos,Minnesota Vikings,,Sun,October 19,1:00PM,28,20,340,0,321,3,Minnesota,Denver,64381.0,U.S. Bank Stadium,66655,0.9658840297051984
2003,7,Carolina Panthers,Tennessee Titans,Tennessee Titans,,Sun,October 19,1:02PM,37,17,348,0,383,4,Carolina,Tennessee,72851.0,Bank of America Stadium,74867,0.9730722481199995
2003,7,Cincinnati Bengals,Baltimore Ravens,Cincinnati Bengals,,Sun,October 19,1:02PM,34,26,303,0,401,3,Cincinnati,Baltimore,53553.0,Paycor Stadium,65515,0.8174158589635961
2003,7,Cleveland Browns,San Diego Chargers,San Diego Chargers,,Sun,October 19,1:02PM,26,20,289,2,277,2,Cleveland,San Diego,73238.0,Huntington Bank Field,67895,1.0786950438176597
2003,7,St. Louis Rams,Green Bay Packers,St. Louis Rams,,Sun,October 19,1:02PM,34,24,370,2,372,4,St. Louis,Green Bay,66201.0,SoFi Stadium,70240,0.94249715261959
2003,7,Miami Dolphins,New England Patriots,New England Patriots,,Sun,October 19,1:03PM,19,13,332,2,326,3,Miami,New England,73650.0,Hard Rock Stadium,65326,1.127422465786976
2003,7,Detroit Lions,Dallas Cowboys,Dallas Cowboys,,Sun,October 19,1:03PM,38,7,331,1,157,4,Detroit,Dallas,61160.0,Ford Field,65000,0.940923076923077
2003,7,New York Giants,Philadelphia Eagles,Philadelphia Eagles,,Sun,October 19,1:03PM,14,10,134,2,339,2,New York,Philadelphia,78883.0,MetLife Stadium,82500,0.9561575757575758
2003,7,Atlanta Falcons,New Orleans Saints,New Orleans Saints,,Sun,October 19,1:03PM,45,17,506,1,238,1,Atlanta,New Orleans,70837.0,Mercedes Benz Stadium,71000,0.9977042253521127
2003,7,Houston Texans,New York Jets,New York Jets,,Sun,October 19,4:05PM,19,14,300,0,325,0,Houston,New York,70623.0,NRG Stadium,72220,0.9778870119080587
2003,7,Seattle Seahawks,Chicago Bears,Seattle Seahawks,,Sun,October 19,4:15PM,24,17,335,2,211,2,Seattle,Chicago,65671.0,Lumen Field,69000,0.9517536231884058
2003,7,Buffalo Bills,Washington Redskins,Buffalo Bills,,Sun,October 19,4:15PM,24,7,432,2,169,1,Buffalo,Washington,73149.0,Highmark Stadium,71608,1.0215199419059322
2003,7,San Francisco 49ers,Tampa Bay Buccaneers,San Francisco 49ers,,Sun,October 19,4:15PM,24,7,458,2,326,4,San Francisco,Tampa Bay,67809.0,Levi's Stadium,68500,0.9899124087591241
2003,7,Oakland Raiders,Kansas City Chiefs,Kansas City Chiefs,,Mon,October 20,9:05PM,17,10,319,1,357,3,Oakland,Kansas City,62391.0,Allegiant Stadium,65000,0.9598615384615384
2003,8,Minnesota Vikings,New York Giants,New York Giants,,Sun,October 26,1:00PM,29,17,450,1,359,2,Minnesota,New York,64114.0,U.S. Bank Stadium,66655,0.9618783287075238
2003,8,Tampa Bay Buccaneers,Dallas Cowboys,Tampa Bay Buccaneers,,Sun,October 26,1:01PM,16,0,261,0,178,3,Tampa Bay,Dallas,65602.0,Raymond James Stadium,69218,0.9477592533734
2003,8,Jacksonville Jaguars,Tennessee Titans,Tennessee Titans,,Sun,October 26,1:01PM,30,17,320,1,293,3,Jacksonville,Tennessee,55918.0,TIAA Bank Field,67246,0.8315438836510722
2003,8,Pittsburgh Steelers,St. Louis Rams,St. Louis Rams,,Sun,October 26,1:02PM,33,21,448,0,245,4,Pittsburgh,St. Louis,62665.0,Acrisure Stadium,68400,0.9161549707602339
2003,8,Cincinnati Bengals,Seattle Seahawks,Cincinnati Bengals,,Sun,October 26,1:02PM,27,24,412,0,459,5,Cincinnati,Seattle,52131.0,Paycor Stadium,65515,0.7957109058994124
2003,8,Baltimore Ravens,Denver Broncos,Baltimore Ravens,,Sun,October 26,1:02PM,26,6,277,0,194,2,Baltimore,Denver,69721.0,M&T Bank Stadium,71008,0.9818752816584047
2003,8,New England Patriots,Cleveland Browns,New England Patriots,,Sun,October 26,1:02PM,9,3,347,0,203,1,New England,Cleveland,68436.0,Gillette Stadium,66829,1.024046446901794
2003,8,New Orleans Saints,Carolina Panthers,Carolina Panthers,,Sun,October 26,1:03PM,23,20,368,0,294,3,New Orleans,Carolina,68370.0,Caesars Superdome,73208,0.9339143263031363
2003,8,Chicago Bears,Detroit Lions,Chicago Bears,,Sun,October 26,1:03PM,24,16,261,0,260,2,Chicago,Detroit,61428.0,Soldier Field,61500,0.9988292682926829
2003,8,Arizona Cardinals,San Francisco 49ers,Arizona Cardinals,,Sun,October 26,4:06PM,16,13,314,1,255,1,Arizona,San Francisco,40824.0,State Farm Stadium,63400,0.6439116719242902
2003,8,Philadelphia Eagles,New York Jets,Philadelphia Eagles,,Sun,October 26,4:13PM,24,17,306,2,377,2,Philadelphia,New York,67853.0,Lincoln Financial Field,69596,0.9749554572101845
2003,8,Indianapolis Colts,Houston Texans,Indianapolis Colts,,Sun,October 26,4:15PM,30,21,391,1,270,2,Indianapolis,Houston,56132.0,Lucas Oil Stadium,67000,0.8377910447761194
2003,8,Kansas City Chiefs,Buffalo Bills,Kansas City Chiefs,,Sun,October 26,8:30PM,38,5,375,0,266,7,Kansas City,Buffalo,78689.0,Arrowhead Stadium,76416,1.0297450795644891
2003,8,San Diego Chargers,Miami Dolphins,Miami Dolphins,,Mon,October 27,9:09PM,26,10,264,1,250,3,San Diego,Miami,73014.0,San Diego Stadium,71500,1.0211748251748252
2003,9,Baltimore Ravens,Jacksonville Jaguars,Baltimore Ravens,,Sun,November 2,1:02PM,24,17,259,2,320,3,Baltimore,Jacksonville,69486.0,M&T Bank Stadium,71008,0.9785657954033349
2003,9,Houston Texans,Carolina Panthers,Houston Texans,,Sun,November 2,1:02PM,14,10,267,0,367,1,Houston,Carolina,70052.0,NRG Stadium,72220,0.9699806147881473
2003,9,Detroit Lions,Oakland Raiders,Detroit Lions,,Sun,November 2,1:03PM,23,13,229,2,265,4,Detroit,Oakland,61561.0,Ford Field,65000,0.9470923076923077
2003,9,New York Jets,New York Giants,New York Giants,,Sun,November 2,1:03PM,31,28,413,0,392,4,New York,New York,78132.0,MetLife Stadium,82500,0.9470545454545455
2003,9,Miami Dolphins,Indianapolis Colts,Indianapolis Colts,,Sun,November 2,1:04PM,23,17,356,2,239,2,Miami,Indianapolis,73258.0,Hard Rock Stadium,65326,1.1214217922419862
2003,9,Chicago Bears,San Diego Chargers,Chicago Bears,,Sun,November 2,1:05PM,20,7,341,1,199,1,Chicago,San Diego,61500.0,Soldier Field,61500,1.0
2003,9,Tampa Bay Buccaneers,New Orleans Saints,New Orleans Saints,,Sun,November 2,1:05PM,17,14,257,1,352,6,Tampa Bay,New Orleans,65524.0,Raymond James Stadium,69218,0.9466323788609899
2003,9,Arizona Cardinals,Cincinnati Bengals,Arizona Cardinals,,Sun,November 2,4:05PM,17,14,304,1,263,2,Arizona,Cincinnati,23531.0,State Farm Stadium,63400,0.3711514195583596
2003,9,Seattle Seahawks,Pittsburgh Steelers,Seattle Seahawks,,Sun,November 2,4:06PM,23,16,289,0,320,0,Seattle,Pittsburgh,66507.0,Lumen Field,69000,0.9638695652173913
2003,9,Atlanta Falcons,Philadelphia Eagles,Philadelphia Eagles,,Sun,November 2,4:15PM,23,16,430,0,278,2,Atlanta,Philadelphia,70064.0,Mercedes Benz Stadium,71000,0.9868169014084507
2003,9,Dallas Cowboys,Washington Redskins,Dallas Cowboys,,Sun,November 2,4:15PM,21,14,400,4,213,0,Dallas,Washington,64002.0,AT&T Stadium,80000,0.800025
2003,9,San Francisco 49ers,St. Louis Rams,San Francisco 49ers,,Sun,November 2,4:17PM,30,10,389,2,340,3,San Francisco,St. Louis,67812.0,Levi's Stadium,68500,0.989956204379562
2003,9,Minnesota Vikings,Green Bay Packers,Green Bay Packers,,Sun,November 2,8:35PM,30,27,451,1,323,0,Minnesota,Green Bay,64482.0,U.S. Bank Stadium,66655,0.9673992948766034
2003,9,Denver Broncos,New England Patriots,New England Patriots,,Mon,November 3,9:09PM,30,26,419,2,277,1,Denver,New England,76203.0,Empower Field at Mile High,76125,1.001024630541872
2003,10,Kansas City Chiefs,Cleveland Browns,Kansas City Chiefs,,Sun,November 9,1:00PM,41,20,443,2,199,2,Kansas City,Cleveland,78560.0,Arrowhead Stadium,76416,1.0280569514237856
2003,10,Pittsburgh Steelers,Arizona Cardinals,Pittsburgh Steelers,,Sun,November 9,1:02PM,28,15,246,1,379,1,Pittsburgh,Arizona,59520.0,Acrisure Stadium,68400,0.8701754385964913
2003,10,Washington Redskins,Seattle Seahawks,Washington Redskins,,Sun,November 9,1:02PM,27,20,379,2,346,3,Washington,Seattle,80728.0,Commanders Field,62000,1.3020645161290323
2003,10,Carolina Panthers,Tampa Bay Buccaneers,Carolina Panthers,,Sun,November 9,1:02PM,27,24,341,2,347,1,Carolina,Tampa Bay,73245.0,Bank of America Stadium,74867,0.9783349139140075
2003,10,Jacksonville Jaguars,Indianapolis Colts,Jacksonville Jaguars,,Sun,November 9,1:02PM,28,23,353,2,394,2,Jacksonville,Indianapolis,45037.0,TIAA Bank Field,67246,0.6697350028254468
2003,10,Tennessee Titans,Miami Dolphins,Tennessee Titans,,Sun,November 9,1:02PM,31,7,324,0,224,5,Tennessee,Miami,68809.0,Nissan Stadium,69143,0.9951694314681168
2003,10,Detroit Lions,Chicago Bears,Detroit Lions,,Sun,November 9,1:03PM,12,10,248,0,199,1,Detroit,Chicago,61492.0,Ford Field,65000,0.9460307692307692
2003,10,Cincinnati Bengals,Houston Texans,Cincinnati Bengals,,Sun,November 9,1:03PM,34,27,422,1,269,1,Cincinnati,Houston,50437.0,Paycor Stadium,65515,0.7698542318553003
2003,10,New York Giants,Atlanta Falcons,Atlanta Falcons,,Sun,November 9,1:04PM,27,7,274,0,320,4,New York,Atlanta,78813.0,MetLife Stadium,82500,0.9553090909090909
2003,10,San Diego Chargers,Minnesota Vikings,San Diego Chargers,,Sun,November 9,4:05PM,42,28,458,0,460,2,San Diego,Minnesota,64738.0,San Diego Stadium,71500,0.9054265734265734
2003,10,Oakland Raiders,New York Jets,New York Jets,,Sun,November 9,4:15PM,27,24,424,0,355,1,Oakland,New York,51909.0,Allegiant Stadium,65000,0.7986
2003,10,Dallas Cowboys,Buffalo Bills,Dallas Cowboys,,Sun,November 9,4:15PM,10,6,236,0,185,2,Dallas,Buffalo,63770.0,AT&T Stadium,80000,0.797125
2003,10,St. Louis Rams,Baltimore Ravens,St. Louis Rams,,Sun,November 9,8:38PM,33,22,121,4,267,7,St. Louis,Baltimore,66085.0,SoFi Stadium,70240,0.9408456719817767
2003,10,Green Bay Packers,Philadelphia Eagles,Philadelphia Eagles,,Mon,November 10,9:08PM,17,14,282,0,309,3,Green Bay,Philadelphia,70291.0,Lambeau Field,81441,0.8630910720644392
2003,11,Buffalo Bills,Houston Texans,Houston Texans,,Sun,November 16,1:01PM,12,10,245,1,335,1,Buffalo,Houston,72677.0,Highmark Stadium,71608,1.0149284996089822
2003,11,Philadelphia Eagles,New York Giants,Philadelphia Eagles,,Sun,November 16,1:01PM,28,10,376,1,361,1,Philadelphia,New York,67867.0,Lincoln Financial Field,69596,0.975156618196448
2003,11,Tennessee Titans,Jacksonville Jaguars,Tennessee Titans,,Sun,November 16,1:02PM,10,3,246,3,271,2,Tennessee,Jacksonville,68809.0,Nissan Stadium,69143,0.9951694314681168
2003,11,Miami Dolphins,Baltimore Ravens,Miami Dolphins,,Sun,November 16,1:03PM,9,6,267,1,223,3,Miami,Baltimore,73333.0,Hard Rock Stadium,65326,1.122569880292686
2003,11,Cleveland Browns,Arizona Cardinals,Cleveland Browns,,Sun,November 16,1:03PM,44,6,481,0,187,4,Cleveland,Arizona,72908.0,Huntington Bank Field,67895,1.0738345975403196
2003,11,Carolina Panthers,Washington Redskins,Carolina Panthers,,Sun,November 16,1:03PM,20,17,427,4,181,2,Carolina,Washington,73263.0,Bank of America Stadium,74867,0.978575340270079
2003,11,Chicago Bears,St. Louis Rams,St. Louis Rams,,Sun,November 16,1:03PM,23,21,320,3,241,2,Chicago,St. Louis,61820.0,Soldier Field,61500,1.0052032520325203
2003,11,Cincinnati Bengals,Kansas City Chiefs,Cincinnati Bengals,,Sun,November 16,1:03PM,24,19,422,0,371,0,Cincinnati,Kansas City,64923.0,Paycor Stadium,65515,0.9909639013966267
2003,11,New Orleans Saints,Atlanta Falcons,New Orleans Saints,,Sun,November 16,1:04PM,23,20,403,4,244,3,New Orleans,Atlanta,68432.0,Caesars Superdome,73208,0.9347612282810622
2003,11,Denver Broncos,San Diego Chargers,Denver Broncos,,Sun,November 16,4:05PM,37,8,448,3,96,4,Denver,San Diego,75217.0,Empower Field at Mile High,76125,0.9880722495894909
2003,11,Indianapolis Colts,New York Jets,Indianapolis Colts,,Sun,November 16,4:05PM,38,31,538,0,324,0,Indianapolis,New York,56801.0,Lucas Oil Stadium,67000,0.847776119402985
2003,11,Oakland Raiders,Minnesota Vikings,Oakland Raiders,,Sun,November 16,4:15PM,28,18,375,2,467,6,Oakland,Minnesota,56653.0,Allegiant Stadium,65000,0.8715846153846154
2003,11,Tampa Bay Buccaneers,Green Bay Packers,Green Bay Packers,,Sun,November 16,4:15PM,20,13,282,1,285,3,Tampa Bay,Green Bay,65614.0,Raymond James Stadium,69218,0.9479326186830015
2003,11,Seattle Seahawks,Detroit Lions,Seattle Seahawks,,Sun,November 16,4:16PM,35,14,366,0,357,2,Seattle,Detroit,65865.0,Lumen Field,69000,0.9545652173913044
2003,11,New England Patriots,Dallas Cowboys,New England Patriots,,Sun,November 16,8:37PM,12,0,268,1,291,3,New England,Dallas,68436.0,Gillette Stadium,66829,1.024046446901794
2003,11,San Francisco 49ers,Pittsburgh Steelers,San Francisco 49ers,,Mon,November 17,9:09PM,30,14,423,0,349,2,San Francisco,Pittsburgh,67877.0,Levi's Stadium,68500,0.9909051094890511
2003,12,Minnesota Vikings,Detroit Lions,Minnesota Vikings,,Sun,November 23,1:00PM,24,14,307,2,241,4,Minnesota,Detroit,63946.0,U.S. Bank Stadium,66655,0.9593578876303354
2003,12,Philadelphia Eagles,New Orleans Saints,Philadelphia Eagles,,Sun,November 23,1:02PM,33,20,448,0,466,3,Philadelphia,New Orleans,67802.0,Lincoln Financial Field,69596,0.97422265647451
2003,12,Houston Texans,New England Patriots,New England Patriots,,Sun,November 23,1:02PM,23,20,472,3,169,2,Houston,New England,70719.0,NRG Stadium,72220,0.9792162835779562
2003,12,Baltimore Ravens,Seattle Seahawks,Baltimore Ravens,,Sun,November 23,1:02PM,44,41,426,2,426,3,Baltimore,Seattle,69477.0,M&T Bank Stadium,71008,0.9784390491212258
2003,12,Cleveland Browns,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,November 23,1:02PM,13,6,168,0,303,5,Cleveland,Pittsburgh,73658.0,Huntington Bank Field,67895,1.084881066352456
2003,12,Buffalo Bills,Indianapolis Colts,Indianapolis Colts,,Sun,November 23,1:02PM,17,14,326,1,228,1,Buffalo,Indianapolis,73004.0,Highmark Stadium,71608,1.019495028488437
2003,12,Dallas Cowboys,Carolina Panthers,Dallas Cowboys,,Sun,November 23,1:02PM,24,20,319,1,244,2,Dallas,Carolina,63871.0,AT&T Stadium,80000,0.7983875
2003,12,Green Bay Packers,San Francisco 49ers,Green Bay Packers,,Sun,November 23,1:02PM,20,10,379,3,192,1,Green Bay,San Francisco,70250.0,Lambeau Field,81441,0.8625876401321202
2003,12,New York Jets,Jacksonville Jaguars,New York Jets,,Sun,November 23,1:03PM,13,10,282,1,330,2,New York,Jacksonville,77614.0,MetLife Stadium,82500,0.9407757575757576
2003,12,Denver Broncos,Chicago Bears,Chicago Bears,,Sun,November 23,4:05PM,19,10,217,0,365,0,Denver,Chicago,75540.0,Empower Field at Mile High,76125,0.9923152709359606
2003,12,Arizona Cardinals,St. Louis Rams,St. Louis Rams,,Sun,November 23,4:06PM,30,27,415,5,358,2,Arizona,St. Louis,42089.0,State Farm Stadium,63400,0.6638643533123029
2003,12,San Diego Chargers,Cincinnati Bengals,Cincinnati Bengals,,Sun,November 23,4:15PM,34,27,444,1,325,0,San Diego,Cincinnati,52069.0,San Diego Stadium,71500,0.7282377622377623
2003,12,Kansas City Chiefs,Oakland Raiders,Kansas City Chiefs,,Sun,November 23,4:15PM,27,24,384,0,379,0,Kansas City,Oakland,78889.0,Arrowhead Stadium,76416,1.0323623324958124
2003,12,Atlanta Falcons,Tennessee Titans,Tennessee Titans,,Sun,November 23,4:15PM,38,31,347,1,282,2,Atlanta,Tennessee,70891.0,Mercedes Benz Stadium,71000,0.9984647887323944
2003,12,Miami Dolphins,Washington Redskins,Miami Dolphins,,Sun,November 23,8:37PM,24,23,317,3,277,2,Miami,Washington,73578.0,Hard Rock Stadium,65326,1.1263203012583045
2003,12,Tampa Bay Buccaneers,New York Giants,Tampa Bay Buccaneers,,Mon,November 24,9:10PM,19,13,358,3,212,4,Tampa Bay,New York,65648.0,Raymond James Stadium,69218,0.9484238203935392
2003,13,Detroit Lions,Green Bay Packers,Detroit Lions,,Thu,November 27,12:37PM,22,14,266,1,320,5,Detroit,Green Bay,62123.0,Ford Field,65000,0.9557384615384615
2003,13,Indianapolis Colts,New England Patriots,New England Patriots,,Sun,November 30,1:00PM,38,34,282,3,370,2,Indianapolis,New England,57102.0,Lucas Oil Stadium,67000,0.8522686567164179
2003,13,Pittsburgh Steelers,Cincinnati Bengals,Cincinnati Bengals,,Sun,November 30,1:01PM,24,20,379,0,384,2,Pittsburgh,Cincinnati,58797.0,Acrisure Stadium,68400,0.8596052631578948
2003,13,Baltimore Ravens,San Francisco 49ers,Baltimore Ravens,,Sun,November 30,1:02PM,44,6,282,2,264,4,Baltimore,San Francisco,69549.0,M&T Bank Stadium,71008,0.9794530193780983
2003,13,St. Louis Rams,Minnesota Vikings,St. Louis Rams,,Sun,November 30,1:02PM,48,17,396,1,465,3,St. Louis,Minnesota,66134.0,SoFi Stadium,70240,0.9415432801822323
2003,13,New York Giants,Buffalo Bills,Buffalo Bills,,Sun,November 30,1:02PM,24,7,403,0,222,1,New York,Buffalo,78481.0,MetLife Stadium,82500,0.9512848484848485
2003,13,Carolina Panthers,Philadelphia Eagles,Philadelphia Eagles,,Sun,November 30,1:02PM,25,16,283,2,336,1,Carolina,Philadelphia,72977.0,Bank of America Stadium,74867,0.9747552326124995
2003,13,Houston Texans,Atlanta Falcons,Houston Texans,,Sun,November 30,1:03PM,17,13,236,1,243,1,Houston,Atlanta,70388.0,NRG Stadium,72220,0.9746330656327887
2003,13,Chicago Bears,Arizona Cardinals,Chicago Bears,,Sun,November 30,1:03PM,28,3,422,1,197,3,Chicago,Arizona,61550.0,Soldier Field,61500,1.0008130081300812
2003,13,Washington Redskins,New Orleans Saints,New Orleans Saints,,Sun,November 30,4:05PM,24,20,310,0,392,3,Washington,New Orleans,76821.0,Commanders Field,62000,1.2390483870967741
2003,13,San Diego Chargers,Kansas City Chiefs,Kansas City Chiefs,,Sun,November 30,4:15PM,28,24,335,2,370,3,San Diego,Kansas City,57671.0,San Diego Stadium,71500,0.8065874125874126
2003,13,Oakland Raiders,Denver Broncos,Denver Broncos,,Sun,November 30,4:15PM,22,8,287,1,262,3,Oakland,Denver,57201.0,Allegiant Stadium,65000,0.8800153846153846
2003,13,Seattle Seahawks,Cleveland Browns,Seattle Seahawks,,Sun,November 30,4:15PM,34,7,463,1,214,3,Seattle,Cleveland,64680.0,Lumen Field,69000,0.9373913043478261
2003,13,Dallas Cowboys,Miami Dolphins,Miami Dolphins,,Thu,November 27,4:16PM,40,21,365,1,354,5,Dallas,Miami,64110.0,AT&T Stadium,80000,0.801375
2003,13,Jacksonville Jaguars,Tampa Bay Buccaneers,Jacksonville Jaguars,,Sun,November 30,8:36PM,17,10,359,1,221,1,Jacksonville,Tampa Bay,60543.0,TIAA Bank Field,67246,0.9003212086964281
2003,13,New York Jets,Tennessee Titans,New York Jets,,Mon,December 1,9:09PM,24,17,320,2,347,2,New York,Tennessee,77710.0,MetLife Stadium,82500,0.941939393939394
2003,14,Minnesota Vikings,Seattle Seahawks,Minnesota Vikings,,Sun,December 7,1:00PM,34,7,465,0,258,3,Minnesota,Seattle,63968.0,U.S. Bank Stadium,66655,0.9596879453904433
2003,14,Pittsburgh Steelers,Oakland Raiders,Pittsburgh Steelers,,Sun,December 7,1:01PM,27,7,399,2,161,3,Pittsburgh,Oakland,53079.0,Acrisure Stadium,68400,0.7760087719298245
2003,14,Jacksonville Jaguars,Houston Texans,Jacksonville Jaguars,,Sun,December 7,1:02PM,27,0,390,0,124,3,Jacksonville,Houston,43363.0,TIAA Bank Field,67246,0.6448413288522737
2003,14,Green Bay Packers,Chicago Bears,Green Bay Packers,,Sun,December 7,1:02PM,34,21,307,1,275,5,Green Bay,Chicago,70458.0,Lambeau Field,81441,0.8651416362765683
2003,14,Baltimore Ravens,Cincinnati Bengals,Baltimore Ravens,,Sun,December 7,1:02PM,31,13,353,3,268,5,Baltimore,Cincinnati,69468.0,M&T Bank Stadium,71008,0.9783123028391167
2003,14,New York Giants,Washington Redskins,Washington Redskins,,Sun,December 7,1:02PM,20,7,288,0,220,3,New York,Washington,78217.0,MetLife Stadium,82500,0.9480848484848485
2003,14,Detroit Lions,San Diego Chargers,San Diego Chargers,,Sun,December 7,1:03PM,14,7,375,2,276,0,Detroit,San Diego,61544.0,Ford Field,65000,0.9468307692307693
2003,14,Tennessee Titans,Indianapolis Colts,Indianapolis Colts,,Sun,December 7,1:03PM,29,27,340,0,327,4,Tennessee,Indianapolis,68809.0,Nissan Stadium,69143,0.9951694314681168
2003,14,New Orleans Saints,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,December 7,1:03PM,14,7,314,1,292,3,New Orleans,Tampa Bay,68442.0,Caesars Superdome,73208,0.934897825374276
2003,14,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,,Sun,December 7,1:03PM,36,10,403,0,225,2,Philadelphia,Dallas,69773.0,Lincoln Financial Field,69596,1.0025432496120468
2003,14,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,,Sun,December 7,4:05PM,50,14,496,1,210,2,San Francisco,Arizona,66975.0,Levi's Stadium,68500,0.9777372262773723
2003,14,Buffalo Bills,New York Jets,Buffalo Bills,,Sun,December 7,4:15PM,17,6,256,2,215,1,Buffalo,New York,72791.0,Highmark Stadium,71608,1.0165205005027371
2003,14,Denver Broncos,Kansas City Chiefs,Denver Broncos,,Sun,December 7,4:15PM,45,27,508,0,444,0,Denver,Kansas City,76403.0,Empower Field at Mile High,76125,1.0036518883415435
2003,14,New England Patriots,Miami Dolphins,New England Patriots,,Sun,December 7,4:15PM,12,0,228,1,134,3,New England,Miami,68436.0,Gillette Stadium,66829,1.024046446901794
2003,14,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,,Sun,December 7,8:37PM,20,14,380,2,231,3,Atlanta,Carolina,70079.0,Mercedes Benz Stadium,71000,0.9870281690140845
